...1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1,5140015361,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/245812900,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,San Andrés y Providencia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,13.376701,-81.346806,119,NA,NA,NA,NA,NA,2024-10-05T07:40:25Z,5,10,2024,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,245812900,NA,Charlotte Kirchner,2024-10-05T20:19:43Z,CC_BY_4_0,Charlotte Kirchner,Charlotte Kirchner,NA,NA,2025-05-16T18:44:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
45,2993588277,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:ACU-2:2017:S5:003311,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Acuario Estación ACU 2","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,12.548917,-81.69695,NA,NA,NA,NA,4.5,1.5,2017-09-02T00:00:00Z,2,9,2017,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Laura Sanchez Valencia,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
3,4870037745,038f4398-50d3-4643-86f3-a0dceba96125,Invemar:MHNMC:Consec.80845:INVEQU5182,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas,La Guajira,PRESENT,1,f072f648-b8a4-47a0-9e1c-89d790645b5a,11.90638,-71.28148,30,NA,NA,NA,2.5,0.5,2023-04-20T00:00:00Z,20,4,2023,7189075,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR),MHNMC,INV EQU5182,2CE720,Giomar Helena Borrero Pérez,2023-08-28T00:00:00Z,CC_BY_NC_4_0,INVEMAR,Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz,NA,NA,2025-01-31T17:08:53Z,NA,NA
4,4512268920,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/196477019,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,Magdalena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,11.21577,-74.233455,240,NA,NA,NA,NA,NA,2019-05-06T10:14:00Z,6,5,2019,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,196477019,NA,Jorge I. Merchán Mayorga,2024-01-13T14:29:29Z,CC_BY_4_0,Elkin Meriño,Elkin Meriño,NA,NA,2025-05-16T19:48:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5,4428519881,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0059,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,6,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.403111000000001,-81.474528,30,1e-5,0,0,5,2.5,2022-09-22T00:00:00Z,22,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2022-12-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:39Z,NA,CONTINENT_COORDINATE_MISMATCH
6,4428519834,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0086,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,1,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.420889,-81.479028,30,1e-5,0,0,3.5,1.5,2022-09-22T00:00:00Z,22,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2022-12-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:39Z,NA,CONTINENT_COORDINATE_MISMATCH
7,4428519777,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0518,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,16,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.400139,-81.443667,30,1e-5,0,0,5,1,2022-09-28T00:00:00Z,28,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2023-01-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:39Z,NA,CONTINENT_COORDINATE_MISMATCH
9,4428519709,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0436,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,1,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.392028,-81.4525,30,1e-5,0,0,2.6,1.1,2022-09-27T00:00:00Z,27,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2023-01-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:39Z,NA,CONTINENT_COORDINATE_MISMATCH
11,4428519603,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0463,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,2,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.425139,-81.470972,30,1e-5,0,0,6,1,2022-09-27T00:00:00Z,27,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2023-01-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:38Z,NA,CONTINENT_COORDINATE_MISMATCH
12,4428519593,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0344,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,39,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.440361,-81.486111,30,1e-5,0,0,9.05,0.55,2022-09-26T00:00:00Z,26,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2022-12-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:38Z,NA,CONTINENT_COORDINATE_MISMATCH
