pais,escenario,idoneidad
Colombia,Actual,0.024884797632694244
Colombia,Optimista,0.005434348247945309
Colombia,Pesimista,9.454237297177315e-4
Colombia,Actual,0.01967494562268257
Colombia,Optimista,0.00428651412948966
Colombia,Pesimista,7.437097956426442e-4
Colombia,Actual,0.05223468318581581
Colombia,Optimista,0.01155434176325798
Colombia,Pesimista,0.0020329547114670277
Colombia,Actual,0.04131244495511055
Colombia,Optimista,0.009094576351344585
Colombia,Pesimista,0.001594680710695684
Colombia,Actual,0.08723771572113037
Colombia,Optimista,0.01956094242632389
Colombia,Pesimista,0.0034371495712548494
Colombia,Actual,0.3783233165740967
Colombia,Optimista,0.0977151021361351
Colombia,Pesimista,0.017720917239785194
Colombia,Actual,0.31365880370140076
Colombia,Optimista,0.07816807925701141
Colombia,Pesimista,0.014020075090229511
Colombia,Actual,0.01721670851111412
Colombia,Optimista,0.0037477712612599134
Colombia,Pesimista,6.495518027804792e-4
Colombia,Actual,0.04411888122558594
Colombia,Optimista,0.009734835475683212
Colombia,Pesimista,0.0017189487116411328
Colombia,Actual,0.12062881886959076
Colombia,Optimista,0.027478285133838654
Colombia,Pesimista,0.004876823164522648
Colombia,Actual,0.1359204202890396
Colombia,Optimista,0.03115556761622429
Colombia,Pesimista,0.005524863954633474
Colombia,Actual,0.19468194246292114
Colombia,Optimista,0.04579723998904228
Colombia,Pesimista,0.008152659982442856
Colombia,Actual,0.2726282775402069
Colombia,Optimista,0.06656567007303238
Colombia,Pesimista,0.011927468702197075
Colombia,Actual,0.24612849950790405
Colombia,Optimista,0.059287674725055695
Colombia,Pesimista,0.010563190095126629
Colombia,Actual,0.02831723541021347
Colombia,Optimista,0.0061932834796607494
Colombia,Pesimista,0.0010760612785816193
Colombia,Actual,0.03152703866362572
Colombia,Optimista,0.006933961063623428
Colombia,Pesimista,0.0012299339286983013
Colombia,Actual,0.31698188185691833
Colombia,Optimista,0.07941899448633194
Colombia,Pesimista,0.014503094367682934
Colombia,Actual,0.23640097677707672
Colombia,Optimista,0.05683477967977524
Colombia,Pesimista,0.010256768204271793
Colombia,Actual,0.276968777179718
Colombia,Optimista,0.06791666895151138
Colombia,Pesimista,0.012289194390177727
Colombia,Actual,0.25058120489120483
Colombia,Optimista,0.060611870139837265
Colombia,Pesimista,0.01090684812515974
Colombia,Actual,0.2661353349685669
Colombia,Optimista,0.06482812017202377
Colombia,Pesimista,0.01165772695094347
Colombia,Actual,0.2584782540798187
Colombia,Optimista,0.06268862634897232
Colombia,Pesimista,0.011233470402657986
Colombia,Actual,0.33200377225875854
Colombia,Optimista,0.08360546082258224
Colombia,Pesimista,0.015079701319336891
Colombia,Actual,0.0408359169960022
Colombia,Optimista,0.008978978730738163
Colombia,Pesimista,0.001564157661050558
Colombia,Actual,0.030500974506139755
Colombia,Optimista,0.006717597134411335
Colombia,Pesimista,0.0011950748739764094
Colombia,Actual,0.1391879767179489
Colombia,Optimista,0.03205753117799759
Colombia,Pesimista,0.005755214020609856
Colombia,Actual,0.26039907336235046
Colombia,Optimista,0.06342396885156631
Colombia,Pesimista,0.011521082371473312
Colombia,Actual,0.2476908266544342
Colombia,Optimista,0.05991635471582413
Colombia,Pesimista,0.010847472585737705
Colombia,Actual,0.24886274337768555
Colombia,Optimista,0.060208965092897415
Colombia,Pesimista,0.01087996456772089
Colombia,Actual,0.2544306218624115
Colombia,Optimista,0.061689335852861404
Colombia,Pesimista,0.011128413490951061
Colombia,Actual,0.2576078772544861
Colombia,Optimista,0.06251116096973419
Colombia,Pesimista,0.011251039803028107
Colombia,Actual,0.2535797655582428
Colombia,Optimista,0.06137413531541824
Colombia,Pesimista,0.01101096160709858
Colombia,Actual,0.19933626055717468
Colombia,Optimista,0.046983372420072556
Colombia,Pesimista,0.008353464305400848
Colombia,Actual,0.026341332122683525
Colombia,Optimista,0.005759863648563623
Colombia,Pesimista,0.0010035036830231547
Colombia,Actual,0.2238306701183319
Colombia,Optimista,0.05399281904101372
Colombia,Pesimista,0.009897062554955482
Colombia,Actual,0.11821360886096954
Colombia,Optimista,0.02715778723359108
Colombia,Pesimista,0.004914798773825169
Colombia,Actual,0.07253258675336838
Colombia,Optimista,0.01633010059595108
Colombia,Pesimista,0.0029375881422311068
Colombia,Actual,0.18800173699855804
Colombia,Optimista,0.044479988515377045
Colombia,Pesimista,0.0080842524766922
Colombia,Actual,0.09456562995910645
Colombia,Optimista,0.02145230956375599
Colombia,Pesimista,0.003854991402477026
Colombia,Actual,0.0775931254029274
Colombia,Optimista,0.01745855249464512
Colombia,Pesimista,0.0031278645619750023
Colombia,Actual,0.14533814787864685
Colombia,Optimista,0.03362710401415825
Colombia,Pesimista,0.006058639381080866
Colombia,Actual,0.2678705155849457
Colombia,Optimista,0.06558964401483536
Colombia,Pesimista,0.011964370496571064
Colombia,Actual,0.24000602960586548
Colombia,Optimista,0.05791594833135605
Colombia,Pesimista,0.010513687506318092
Colombia,Actual,0.24546411633491516
Colombia,Optimista,0.05935083329677582
Colombia,Pesimista,0.010762680321931839
Colombia,Actual,0.25005361437797546
Colombia,Optimista,0.060565829277038574
Colombia,Pesimista,0.010968310758471489
Colombia,Actual,0.25408974289894104
Colombia,Optimista,0.06162567809224129
Colombia,Pesimista,0.011139207519590855
Colombia,Actual,0.2637278437614441
Colombia,Optimista,0.06421824544668198
Colombia,Pesimista,0.011588828638195992
Colombia,Actual,0.22105076909065247
Colombia,Optimista,0.05268232151865959
Colombia,Pesimista,0.009432701393961906
Colombia,Actual,0.22907203435897827
Colombia,Optimista,0.054776523262262344
Colombia,Pesimista,0.009787552058696747
Colombia,Actual,0.02151070162653923
Colombia,Optimista,0.004695866722613573
Colombia,Pesimista,8.189664804376662e-4
Colombia,Actual,0.19490322470664978
Colombia,Optimista,0.046392764896154404
Colombia,Pesimista,0.0084929084405303
Colombia,Actual,0.25400418043136597
Colombia,Optimista,0.06214704364538193
Colombia,Pesimista,0.011435583233833313
Colombia,Actual,0.24328477680683136
Colombia,Optimista,0.0591713972389698
Colombia,Pesimista,0.010855880565941334
Colombia,Actual,0.2405748814344406
Colombia,Optimista,0.05839554965496063
Colombia,Pesimista,0.010691461153328419
Colombia,Actual,0.2487882375717163
Colombia,Optimista,0.060591693967580795
Colombia,Pesimista,0.011084289290010929
Colombia,Actual,0.199655219912529
Colombia,Optimista,0.047448351979255676
Colombia,Pesimista,0.008619287051260471
Colombia,Actual,0.21323344111442566
Colombia,Optimista,0.050934188067913055
Colombia,Pesimista,0.009256705641746521
Colombia,Actual,0.23916621506214142
Colombia,Optimista,0.057778798043727875
Colombia,Pesimista,0.010518754832446575
Colombia,Actual,0.24182288348674774
Colombia,Optimista,0.05844106897711754
Colombia,Pesimista,0.01062749046832323
Colombia,Actual,0.24699082970619202
Colombia,Optimista,0.059794481843709946
Colombia,Pesimista,0.010862786322832108
Colombia,Actual,0.25135111808776855
Colombia,Optimista,0.06094329059123993
Colombia,Pesimista,0.011057513765990734
Colombia,Actual,0.2565471827983856
Colombia,Optimista,0.062317341566085815
Colombia,Pesimista,0.011288098990917206
Colombia,Actual,0.24875877797603607
Colombia,Optimista,0.060142047703266144
Colombia,Pesimista,0.0108546307310462
Colombia,Actual,0.2055785208940506
Colombia,Optimista,0.048647478222846985
Colombia,Pesimista,0.00871233083307743
Colombia,Actual,0.11736691743135452
Colombia,Optimista,0.026675742119550705
Colombia,Pesimista,0.00471927784383297
Colombia,Actual,0.10246671736240387
Colombia,Optimista,0.023405911400914192
Colombia,Pesimista,0.004261350724846125
Colombia,Actual,0.28622105717658997
Colombia,Optimista,0.07117991149425507
Colombia,Pesimista,0.013201110064983368
Colombia,Actual,0.23594537377357483
Colombia,Optimista,0.05720887705683708
Colombia,Pesimista,0.010525887832045555
Colombia,Actual,0.23199813067913055
Colombia,Optimista,0.05612392723560333
Colombia,Pesimista,0.010301119647920132
Colombia,Actual,0.2268911898136139
Colombia,Optimista,0.05473467335104942
Colombia,Pesimista,0.010019865818321705
Colombia,Actual,0.22300966084003448
Colombia,Optimista,0.053680576384067535
Colombia,Pesimista,0.00980211328715086
Colombia,Actual,0.2284281849861145
Colombia,Optimista,0.05507677048444748
Colombia,Pesimista,0.010048332624137402
Colombia,Actual,0.23447132110595703
Colombia,Optimista,0.05661945790052414
Colombia,Pesimista,0.01032669935375452
Colombia,Actual,0.23769520223140717
Colombia,Optimista,0.05741701275110245
Colombia,Pesimista,0.010463778860867023
Colombia,Actual,0.24349145591259003
Colombia,Optimista,0.05892069265246391
Colombia,Pesimista,0.010730551555752754
Colombia,Actual,0.24853689968585968
Colombia,Optimista,0.06023648381233215
Colombia,Pesimista,0.010959899052977562
Colombia,Actual,0.25278836488723755
Colombia,Optimista,0.061350636184215546
Colombia,Pesimista,0.011149161495268345
Colombia,Actual,0.2592393755912781
Colombia,Optimista,0.06306588649749756
Colombia,Pesimista,0.011445706710219383
Colombia,Actual,0.23718510568141937
Colombia,Optimista,0.057027220726013184
Colombia,Pesimista,0.010298077017068863
Colombia,Actual,0.19880613684654236
Colombia,Optimista,0.046898484230041504
Colombia,Pesimista,0.008411151356995106
