presencia_ausencia,clorofila_media,salinidad_rango,temperatura_rango,velocidad_corriente_media,ph_rango,batimetria,distancia_costa,concavidad
1,0.08381325751543045,1.2013276815414429,3.0947577953338623,0.2700108289718628,0.05198872834444046,-40,1,1
1,0.13073129951953888,2.655423641204834,3.003300189971924,0.046585652977228165,0.06128927320241928,-23,4,2
1,0.343782514333725,2.4796974658966064,3.068781614303589,0.205897718667984,0.08539998531341553,-12,1,-16
1,0.23564748466014862,2.0368764400482178,2.998058319091797,0.12622147798538208,0.06882617622613907,-14,1,28
1,0.27034446597099304,2.0357372760772705,3.3587088584899902,0.04859920218586922,0.06743229925632477,-3,1,0
1,0.3432866632938385,2.474985361099243,3.068932294845581,0.20976613461971283,0.08533761650323868,-5,1,10
1,0.08369267731904984,1.2665525674819946,3.0441555976867676,0.23193782567977905,0.05021724849939346,-2,30,0
1,0.08366645127534866,1.2616190910339355,3.0491783618927,0.23032188415527344,0.05018163099884987,-2,28,92
1,0.08371388167142868,1.267030954360962,3.0333683490753174,0.23382344841957092,0.05023293197154999,-2,33,0
1,0.08372636884450912,1.271696925163269,3.0353810787200928,0.23429769277572632,0.05025691166520119,-2,32,0
1,0.08371659368276596,1.2692842483520508,3.03617262840271,0.23374630510807037,0.050242308527231216,-2,32,0
1,0.08372335135936737,1.269447922706604,3.0326597690582275,0.23437899351119995,0.0502464696764946,-2,33,0
1,0.08366292715072632,1.2585704326629639,3.047445297241211,0.23025630414485931,0.050166722387075424,-2,29,0
1,0.08364716917276382,1.254424810409546,3.054670810699463,0.22862465679645538,0.05014816299080849,-72,27,56
1,0.08364017307758331,1.2467429637908936,3.0528242588043213,0.2283134013414383,0.05011459067463875,-2,28,21
1,0.08363986760377884,1.2504959106445313,3.0563266277313232,0.22797445952892303,0.05012961104512215,-72,27,86
1,0.08363732695579529,1.2504075765609741,3.058668851852417,0.22754310071468353,0.050131890922784805,-178,26,126
1,0.5106587409973145,7.318438529968262,3.6472737789154053,0.04414398968219757,0.055731188505887985,-2,1,8
1,0.6848108172416687,6.576330184936523,5.948841571807861,0.04952877759933472,0.07843088358640671,-5,1,81
1,0.23283901810646057,1.9726619720458984,3.0553643703460693,0.12572409212589264,0.06803151965141296,-6,1,12
1,0.23214386403560638,1.983613133430481,3.0308797359466553,0.13243117928504944,0.06812883913516998,-5,1,36
1,0.08337721228599548,1.2111986875534058,3.1999528408050537,0.2076638787984848,0.05090508237481117,-2,3,9
1,0.09719020873308182,1.2117918729782104,3.3846025466918945,0.12052563577890396,0.06817000359296799,-10,1,-16
1,0.10765980929136276,1.9886122941970825,3.0087571144104004,0.08762598782777786,0.05667734146118164,-1,1,21
1,0.3778629004955292,1.9400371313095093,3.2537002563476563,0.4473123252391815,0.07952607423067093,-354,13,2
1,0.48474958539009094,5.369348526000977,3.953500986099243,0.05330473929643631,0.061869025230407715,-81,4,-3
1,0.24089841544628143,5.016988277435303,4.176174640655518,0.0644800141453743,0.05604728311300278,-8,2,10
1,0.7442734241485596,6.013837814331055,4.372873306274414,0.062255293130874634,0.07274580746889114,-8,5,12
1,0.7442734241485596,6.013837814331055,4.372873306274414,0.062255293130874634,0.07274580746889114,-8,5,12
1,0.6295216083526611,5.937121391296387,4.1832427978515625,0.054502297192811966,0.06605112552642822,-8,9,1
1,0.2271595150232315,5.0283708572387695,4.202785015106201,0.05974023789167404,0.05493726581335068,-8,1,192
1,0.08366823941469193,1.2038320302963257,3.096529483795166,0.2433306723833084,0.052592918276786804,-2,7,0
1,0.08334577828645706,1.202544093132019,3.2097456455230713,0.20658355951309204,0.05098473280668259,-5,1,-4
1,0.08337902277708054,1.21233332157135,3.2039778232574463,0.20757851004600525,0.050902992486953735,-8,2,-17
1,0.6295216083526611,5.937121391296387,4.1832427978515625,0.054502297192811966,0.06605112552642822,-8,9,1
1,0.083672896027565,1.1911925077438354,3.073265314102173,0.2811483144760132,0.052137341350317,-29,1,29
1,0.5191392302513123,7.321516990661621,3.604616403579712,0.04223256930708885,0.055536214262247086,-32,3,6
1,0.08371151238679886,1.1909955739974976,3.07698130607605,0.2916519343852997,0.051742859184741974,-2,2,9
1,0.5015494227409363,7.278881072998047,3.6022160053253174,0.04264449700713158,0.05558555945754051,-37,3,0
1,0.4184674322605133,5.425601005554199,3.9267160892486572,0.05325402691960335,0.05804859846830368,-75,6,1
1,0.08364354819059372,1.1921025514602661,3.0721607208251953,0.2809249460697174,0.05232912674546242,-138,3,9
1,0.08337143063545227,1.2098217010498047,3.20917010307312,0.20698899030685425,0.05092184990644455,-5,2,-5
1,0.08333544433116913,1.2023380994796753,3.261829137802124,0.20314162969589233,0.05102427303791046,-174,1,-11
1,0.08360476791858673,1.1873160600662231,3.0659048557281494,0.2863878905773163,0.052195265889167786,-73,3,9
1,0.22520454227924347,5.320339679718018,4.807639122009277,0.078751340508461,0.05377088859677315,-11,1,56
1,0.08368939906358719,1.1939324140548706,3.077875852584839,0.27752557396888733,0.052215829491615295,-46,2,13
1,0.4722406268119812,7.402777194976807,2.574040651321411,0.0933995470404625,0.07174834609031677,-15,1,33
1,0.2365601509809494,2.0459537506103516,2.9950923919677734,0.12550583481788635,0.06896483153104782,-22,1,2
1,0.23828546702861786,2.0575180053710938,2.996811628341675,0.11914573609828949,0.06913457810878754,-23,1,-5
1,0.2171299159526825,1.8767735958099365,2.9075167179107666,0.13536237180233002,0.06882055103778839,-8,2,1
1,0.08376546949148178,1.1970956325531006,3.085825204849243,0.27392637729644775,0.05205335468053818,-2,1,0
