gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4913120259	040c5662-da76-4782-a48e-cdea1892d14c	TCICR169-24	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		UNRANKED	BOLD:ABA2440	BOLD:ABA2440		TC	Only Fans	Turks and Caicos Islands	PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5	21.892	-72.115					5.2	0.0	2022-08-08	8	8	2022	10804266	2278861	MATERIAL_SAMPLE	Natural History Museum of Los Angeles County				Michelle E Taylor		CC_BY_4_0		Michelle Taylor			2025-07-20T08:41:35.795Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4870037745	038f4398-50d3-4643-86f3-a0dceba96125	Invemar:MHNMC:Consec.80845:INVEQU5182	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter	lucunter	SUBSPECIES	Echinometra lucunter lucunter (Linnaeus, 1758)	Echinometra lucunter lucunter	(Linnaeus, 1758)	CO	Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas	La Guajira	PRESENT	1	f072f648-b8a4-47a0-9e1c-89d790645b5a	11.90638	-71.28148	30.0				2.5	0.5	2023-04-20	20	4	2023	7189075	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR)	MHNMC	INV EQU5182	2CE720	Giomar Helena Borrero Pérez	2023-08-28T00:00:00	CC_BY_NC_4_0	INVEMAR	Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz			2025-08-01T01:36:45.154Z		
4870037683	038f4398-50d3-4643-86f3-a0dceba96125	Invemar:MHNMC:Consec.80843:INVEQU5180	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter	lucunter	SUBSPECIES	Echinometra lucunter lucunter (Linnaeus, 1758)	Echinometra lucunter lucunter	(Linnaeus, 1758)	CO	Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas	La Guajira	PRESENT	1	f072f648-b8a4-47a0-9e1c-89d790645b5a	11.90638	-71.28148	30.0				2.5	0.5	2023-04-20	20	4	2023	7189075	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR)	MHNMC	INV EQU5180	2CE420-Ind2	Giomar Helena Borrero Pérez	2023-08-28T00:00:00	CC_BY_NC_4_0	INVEMAR	Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz			2025-08-01T01:36:44.286Z		
4870037529	038f4398-50d3-4643-86f3-a0dceba96125	Invemar:MHNMC:Consec.80844:INVEQU5181	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter	lucunter	SUBSPECIES	Echinometra lucunter lucunter (Linnaeus, 1758)	Echinometra lucunter lucunter	(Linnaeus, 1758)	CO	Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas	La Guajira	PRESENT	1	f072f648-b8a4-47a0-9e1c-89d790645b5a	11.90638	-71.28148	30.0				2.5	0.5	2023-04-20	20	4	2023	7189075	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR)	MHNMC	INV EQU5181	2CE620	Giomar Helena Borrero Pérez	2023-08-28T00:00:00	CC_BY_NC_4_0	INVEMAR	Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz			2025-08-01T01:36:41.579Z		
4870037309	038f4398-50d3-4643-86f3-a0dceba96125	Invemar:MHNMC:Consec.80842:INVEQU5179	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter	lucunter	SUBSPECIES	Echinometra lucunter lucunter (Linnaeus, 1758)	Echinometra lucunter lucunter	(Linnaeus, 1758)	CO	Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas	La Guajira	PRESENT	1	f072f648-b8a4-47a0-9e1c-89d790645b5a	11.90638	-71.28148	30.0				2.5	0.5	2023-04-20	20	4	2023	7189075	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR)	MHNMC	INV EQU5179	2CE420-Ind1	Giomar Helena Borrero Pérez	2023-08-28T00:00:00	CC_BY_NC_4_0	INVEMAR	Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz			2025-08-01T01:36:37.547Z		
4400815374	1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2	UDEA:CEMUA:ECHI:000091	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	Linnaeus, 1758	CO	Canales de Tio Kike	Bolívar	PRESENT	2	cccff716-2694-4209-9f9e-2f7a484465a0	9.7963	-75.858					4.0	0.0	2012-06-24	24	6	2012	2278861	2278861	PRESERVED_SPECIMEN	Universidad de Antioquia (UDEA)	CEMUA	ECHI:000091		Daniela Yepes Gaurisas	2012-06-24T00:00:00	CC_BY_4_0	Universidad de Antioquia	Mario Hernán Londoño Mesa;Daniela Yepes Gaurisas			2025-08-01T12:28:31.972Z		INSTITUTION_MATCH_NONE
4400815371	1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2	UDEA:CEMUA:ECHI:000092	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	Linnaeus, 1758	CO	El Latal	Bolívar	PRESENT	2	cccff716-2694-4209-9f9e-2f7a484465a0	9.3829	-74.8112					2.0	0.0	2011-09-25	25	9	2011	2278861	2278861	PRESERVED_SPECIMEN	Universidad de Antioquia (UDEA)	CEMUA	ECHI:000092		Daniela Yepes Gaurisas	2011-09-25T00:00:00	CC_BY_4_0	Universidad de Antioquia	Daniela Yepes Gaurisas			2025-08-01T12:28:31.966Z		INSTITUTION_MATCH_NONE
4400815364	1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2	UDEA:CEMUA:ECHI:000085	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	Linnaeus, 1758	CO	El Latal	Bolívar	PRESENT	2	cccff716-2694-4209-9f9e-2f7a484465a0	9.3829	-74.8112					1.0	0.0	2012-04-22	22	4	2012	2278861	2278861	PRESERVED_SPECIMEN	Universidad de Antioquia (UDEA)	CEMUA	ECHI:000085		Daniela Yepes Gaurisas	2012-04-22T00:00:00	CC_BY_4_0	Universidad de Antioquia	Daniela Yepes Gaurisas			2025-08-01T12:28:31.949Z		INSTITUTION_MATCH_NONE
4168515954	a4305468-d94d-4244-b146-738e52d8a6e9	0ee0ac7cb7d3194dc3d4313633093bd0	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	MX	Transecto 1		PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	20.219222	-91.972778			0.0	0.0	2.5	2.5	2016-04-23	23	4	2016	2278861	2278861	PRESERVED_SPECIMEN	ICML-UNAM	CNE	ICML-UNAM 18033		Hernández-Díaz, Y. Q.		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Hernández-Díaz, Y. Q.	NotAType		2025-07-05T01:58:40.316Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168515738	a4305468-d94d-4244-b146-738e52d8a6e9	2054524bc99a813c314e7a25ae926d27	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	MX	Punta Norte		PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	20.207694	-91.960667			0.0	0.0	2.5	2.5	2016-04-24	24	4	2016	2278861	2278861	PRESERVED_SPECIMEN	ICML-UNAM	CNE	ICML-UNAM 18056		Hernández-Díaz, Y. Q.		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Hernández-Díaz, Y. Q.	NotAType		2025-07-05T01:58:38.449Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;DEPTH_MIN_MAX_SWAPPED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
